Filename,Run Count,Last Run Date
"C:\ProgramData\chocolatey\bin\Ventoy2Disk_X64.exe",2,133764120521537042
"C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.21.3231.0_x64__8wekyb3d8bbwe\wt.exe",1,133772507164073015
"C:\Program Files\EverythingToolbar\EverythingToolbar.Launcher.exe",1,133765832075571096
"C:\Program Files\EverythingToolbar",1,133765831666009678
"C:\ProgramData\chocolatey\lib-bkp\qttabbar",1,133764097703526366
"C:\Users\Manisk\AppData\Local\Temp\chocolatey\QTTabBar",1,133764097662745110
"C:\Users\Manisk\AppData\Local\Temp\chocolatey\ChocolateyScratch\qttabbar",1,133764097587276341
"F:\Users\Manisk\AppData\Roaming\QTTabBar",1,133764097251807962
"C:\Python312\python.exe",1,133763861473415680
"C:\Users\Manisk\scoop\apps\python\3.13.0\python.exe",1,133763856646506633
"C:\tools\neovim\nvim-win64\bin\nvim.exe",1,133758945924386231
"C:\ProgramData\WinaeroTweaker",1,133756161578507036
"C:\Program Files\VSCodium\resources\app\product.json",1,133750255807469356
"C:\Program Files\Microsoft VS Code\resources\app\product.json",1,133750255617079670
"F:\Users\Manisk\AppData\Local\Temp\WinGet\cache\V2_PVD\Microsoft.Winget.Source_8wekyb3d8bbwe\packages\winaero.tweaker",1,133747819537878634
"F:\Users\Manisk\AppData\Local\Temp\chocolatey\ChocolateyScratch\winaero-tweaker",1,133747819495778647
"F:\ProgramData\Microsoft\Windows\Start Menu\Programs\Winaero Tweaker",1,133747819425858642
"F:\ProgramData\chocolatey\.chocolatey\winaero-tweaker.install.1.62.1",1,133747819385368641
"F:\ProgramData\chocolatey\.chocolatey\winaero-tweaker.1.62.1",1,133747819355788639
